artist_key,canonical_name,normalized_name,aliases,country_signals,genre_signals,source_ids,confidence_score,confidence_tier,inclusion_reasons,notes
00a85150-6eb9-4fc9-87ef-b97a307cfbd7,Vicente Fernández,vicente fernandez,"El Rey de la Música Ranchera|Vicente ""Chente"" Fernandez Gomez|Vicente ""Chente"" Fernández Gómez|Vicente El Rey de la Música Ranchera Fernández|Vicente Fernandez|Vicente Fernandez Gomez|Vicente Fernández|Vicente Fernández Gómez|Vincente Fernandez",Guadalajara|MX|Mexico,latin|mx_person|national folk|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""3b829056-d975-4ae7-be3c-20661ce980e8""}, {""source"": ""musicbrainz"", ""id"": ""3b829056-d975-4ae7-be3c-20661ce980e8""}, {""source"": ""wikidata"", ""id"": ""Q119069""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
d7192c62-3446-426a-8ceb-3225c6e82bf3,Pedro Infante,pedro infante,Pedro Infante,MX|Mexico|Sinaloa,death by airplane|latin|mx_person|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""35b17a3b-601b-4049-9bdd-4933d8ec4e10""}, {""source"": ""musicbrainz"", ""id"": ""35b17a3b-601b-4049-9bdd-4933d8ec4e10""}, {""source"": ""wikidata"", ""id"": ""Q467954""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
03e59656-059f-4b9d-b3d9-d457cb913dda,Óscar Chávez,oscar chavez,Oscar Chavez|Oscar Chávez|Óscar Chávez,Ciudad de México|MX|Mexico,contemporary folk music|death by covid-19|folklore|mexican singer|mexican songwriter|mx_person|méxico|protesta|singer|songwriter|trova,"[{""source"": ""musicbrainz"", ""id"": ""b4a4ce33-3de7-4971-b768-c560aabd1b16""}, {""source"": ""wikidata"", ""id"": ""Q3593648""}]",3,medium,mexico_signal|multi_source_presence,
720e3569-8816-4713-8437-5e62a3a9eda6,Juan Gabriel,juan gabriel,Alberto Aguilera Valadez|Juan Gabriel,MX|Mexico|Parácuaro,canción melódica|latin|latin ballad|latin pop|mariachi|mexican|mx_person|pop|ranchera|rock,"[{""source"": ""musicbrainz"", ""id"": ""bc9b7500-0afc-41ba-a056-b0bc81669702""}, {""source"": ""musicbrainz"", ""id"": ""bc9b7500-0afc-41ba-a056-b0bc81669702""}, {""source"": ""wikidata"", ""id"": ""Q738404""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
fbe6f7f9-1c60-423b-8cdf-807cc2de9ab4,José José,jose jose,Jose Jose|José José|José Rómulo Sosa Ortiz|José Sosa|José-José|Pepe José,Ciudad de México|MX|Mexico,Latin ballad|canción melódica|crooner|josé josé|latin ballad|latin pop|mx_person|pop|soy asy,"[{""source"": ""musicbrainz"", ""id"": ""4f4a0d43-75d4-4c31-8d0d-c48e4c0efbf9""}, {""source"": ""wikidata"", ""id"": ""Q2608238""}]",3,medium,mexico_signal|multi_source_presence,
2488d746-6e45-4bb9-b70e-7fccd5a06a89,José Alfredo Jiménez,jose alfredo jimenez,Jose Alfredo Jimenez|José Alfredo Jiménez|José Alfredo Jiménez Sandoval|José a. Jimenez,Guanajuato|MX|Mexico,latin|mariachi|mx_person|national folk|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""c02be87c-adc4-4c34-afb3-900393050727""}, {""source"": ""musicbrainz"", ""id"": ""c02be87c-adc4-4c34-afb3-900393050727""}, {""source"": ""wikidata"", ""id"": ""Q1352007""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
4df1e18f-a5a9-4cc6-ba0e-da7a3da6fcdb,Lola Beltrán,lola beltran,Lola Beltran y Amalia Mendoza y Lucha Villa|Lola Beltrán|María Lucila Beltrán Ruiz,El Rosario|MX|Mexico,huapango|latin|mx_person|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""5bace4e8-2280-4d13-a198-94e13587e111""}, {""source"": ""musicbrainz"", ""id"": ""5bace4e8-2280-4d13-a198-94e13587e111""}, {""source"": ""wikidata"", ""id"": ""Q297703""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
cd14c224-af6d-47b8-ad94-61134ea8cc5a,Pepe Jaramillo,pepe jaramillo,José Jaramillo García|Pepe Jaramillo|Pepe Jaramillo and His Latin America Rhythm,Durango|MX|Mexico,mx_person,"[{""source"": ""musicbrainz"", ""id"": ""1d3ca4c8-ce61-495e-ab9d-c763d622798f""}, {""source"": ""wikidata"", ""id"": ""Q23614366""}]",3,medium,mexico_signal|multi_source_presence,
a1a5f6ca-3fa2-484d-bde2-e35709947a5e,Chavela Vargas,chavela vargas,Chabela Vargas|Chavela Vargas|Isabel Vargas Lizano,Heredia|MX|Mexico,bolero|latin|macorina|mx_person|ranchera|regional mexicano,"[{""source"": ""musicbrainz"", ""id"": ""77586a91-4586-4962-b836-e496d3a05432""}, {""source"": ""musicbrainz"", ""id"": ""77586a91-4586-4962-b836-e496d3a05432""}, {""source"": ""wikidata"", ""id"": ""Q236024""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
98273a01-a1fe-4ac1-beb5-c24f0d8e7c13,Alejandro Fernández,alejandro fernandez,Alejandro Fernandez|Alejandro Fernández|Alejandro Fernández Abarca|El Potrillo|El Potrillo Fernández,Guadalajara|MX|Mexico,1990s|2000s|Madmans Esprit|ballad|bolero|latin|latin pop|mariachi|mx_beginarea_person|mx_person|norteña|pop|pop rock|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""772a8360-e81e-4647-92e2-195c19efddad""}, {""source"": ""musicbrainz"", ""id"": ""fd83a2d4-c8f2-4ee1-abdd-97de9724899e""}, {""source"": ""musicbrainz"", ""id"": ""772a8360-e81e-4647-92e2-195c19efddad""}, {""source"": ""wikidata"", ""id"": ""Q553528""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
f2a39a0d-1694-4202-a8ee-22a05e7b3b94,Luis Miguel,luis miguel,Luis Miguel|Luis Miguel Gallego Basteri,MX|Mexico|San Juan,bolero|canción melódica|latin|latin american|latin ballad|latin pop|mexican|mx_person|national folk|pop|pop music|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""90270118-8ed0-4446-bf97-8a09b3f9e8f3""}, {""source"": ""musicbrainz"", ""id"": ""90270118-8ed0-4446-bf97-8a09b3f9e8f3""}, {""source"": ""wikidata"", ""id"": ""Q1069140""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
