artist_key,canonical_name,normalized_name,aliases,country_signals,genre_signals,source_ids,confidence_score,confidence_tier,inclusion_reasons,notes
00a85150-6eb9-4fc9-87ef-b97a307cfbd7,Vicente Fernández,vicente fernandez,"El Rey de la Música Ranchera|Vicente ""Chente"" Fernandez Gomez|Vicente ""Chente"" Fernández Gómez|Vicente El Rey de la Música Ranchera Fernández|Vicente Fernandez|Vicente Fernandez Gomez|Vicente Fernández|Vicente Fernández Gómez|Vincente Fernandez",Guadalajara|MX|Mexico,latin|mx_person|national folk|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""3b829056-d975-4ae7-be3c-20661ce980e8""}, {""source"": ""musicbrainz"", ""id"": ""3b829056-d975-4ae7-be3c-20661ce980e8""}, {""source"": ""wikidata"", ""id"": ""Q119069""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
d7192c62-3446-426a-8ceb-3225c6e82bf3,Pedro Infante,pedro infante,Pedro Infante,MX|Mexico|Sinaloa,death by airplane|latin|mx_person|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""35b17a3b-601b-4049-9bdd-4933d8ec4e10""}, {""source"": ""musicbrainz"", ""id"": ""35b17a3b-601b-4049-9bdd-4933d8ec4e10""}, {""source"": ""wikidata"", ""id"": ""Q467954""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
720e3569-8816-4713-8437-5e62a3a9eda6,Juan Gabriel,juan gabriel,Alberto Aguilera Valadez|Juan Gabriel,MX|Mexico|Parácuaro,canción melódica|latin|latin ballad|latin pop|mariachi|mexican|mx_person|pop|ranchera|rock,"[{""source"": ""musicbrainz"", ""id"": ""bc9b7500-0afc-41ba-a056-b0bc81669702""}, {""source"": ""musicbrainz"", ""id"": ""bc9b7500-0afc-41ba-a056-b0bc81669702""}, {""source"": ""wikidata"", ""id"": ""Q738404""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
2488d746-6e45-4bb9-b70e-7fccd5a06a89,José Alfredo Jiménez,jose alfredo jimenez,Jose Alfredo Jimenez|José Alfredo Jiménez|José Alfredo Jiménez Sandoval|José a. Jimenez,Guanajuato|MX|Mexico,latin|mariachi|mx_person|national folk|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""c02be87c-adc4-4c34-afb3-900393050727""}, {""source"": ""musicbrainz"", ""id"": ""c02be87c-adc4-4c34-afb3-900393050727""}, {""source"": ""wikidata"", ""id"": ""Q1352007""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
4df1e18f-a5a9-4cc6-ba0e-da7a3da6fcdb,Lola Beltrán,lola beltran,Lola Beltran y Amalia Mendoza y Lucha Villa|Lola Beltrán|María Lucila Beltrán Ruiz,El Rosario|MX|Mexico,huapango|latin|mx_person|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""5bace4e8-2280-4d13-a198-94e13587e111""}, {""source"": ""musicbrainz"", ""id"": ""5bace4e8-2280-4d13-a198-94e13587e111""}, {""source"": ""wikidata"", ""id"": ""Q297703""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
a1a5f6ca-3fa2-484d-bde2-e35709947a5e,Chavela Vargas,chavela vargas,Chabela Vargas|Chavela Vargas|Isabel Vargas Lizano,Heredia|MX|Mexico,bolero|latin|macorina|mx_person|ranchera|regional mexicano,"[{""source"": ""musicbrainz"", ""id"": ""77586a91-4586-4962-b836-e496d3a05432""}, {""source"": ""musicbrainz"", ""id"": ""77586a91-4586-4962-b836-e496d3a05432""}, {""source"": ""wikidata"", ""id"": ""Q236024""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
98273a01-a1fe-4ac1-beb5-c24f0d8e7c13,Alejandro Fernández,alejandro fernandez,Alejandro Fernandez|Alejandro Fernández|Alejandro Fernández Abarca|El Potrillo|El Potrillo Fernández,Guadalajara|MX|Mexico,1990s|2000s|Madmans Esprit|ballad|bolero|latin|latin pop|mariachi|mx_beginarea_person|mx_person|norteña|pop|pop rock|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""772a8360-e81e-4647-92e2-195c19efddad""}, {""source"": ""musicbrainz"", ""id"": ""fd83a2d4-c8f2-4ee1-abdd-97de9724899e""}, {""source"": ""musicbrainz"", ""id"": ""772a8360-e81e-4647-92e2-195c19efddad""}, {""source"": ""wikidata"", ""id"": ""Q553528""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
f2a39a0d-1694-4202-a8ee-22a05e7b3b94,Luis Miguel,luis miguel,Luis Miguel|Luis Miguel Gallego Basteri,MX|Mexico|San Juan,bolero|canción melódica|latin|latin american|latin ballad|latin pop|mexican|mx_person|national folk|pop|pop music|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""90270118-8ed0-4446-bf97-8a09b3f9e8f3""}, {""source"": ""musicbrainz"", ""id"": ""90270118-8ed0-4446-bf97-8a09b3f9e8f3""}, {""source"": ""wikidata"", ""id"": ""Q1069140""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
5cf20614-49a1-4655-b770-508d62353802,Antonio Aguilar,antonio aguilar,"Antonio Aguilar|Antonio Aguilar Barraza|Antonio Aguilar, Sr|El Charro de México|José Pascual Antonio Aguilar Márquez Barraza|Pascual Barraza|The Godfather of Banda Music|Tony Aguilar",MX|Mexico|Zacatecas,banda|corrido|latin|mariachi|mx_person|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""ba683849-490c-4afb-9c8d-7278b25cbdc1""}, {""source"": ""musicbrainz"", ""id"": ""ba683849-490c-4afb-9c8d-7278b25cbdc1""}, {""source"": ""wikidata"", ""id"": ""Q1958523""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
fb0ef230-048d-4e9c-a669-0d7b3e036faa,Javier Solís,javier solis,Gabriel Siria Levario|Javier Solís,Ciudad de México|MX|Mexico,bolero|latin|mx_person|national folk|ranchera,"[{""source"": ""musicbrainz"", ""id"": ""49d300e4-b3bd-4a61-b85e-fb5d66948210""}, {""source"": ""musicbrainz"", ""id"": ""49d300e4-b3bd-4a61-b85e-fb5d66948210""}, {""source"": ""wikidata"", ""id"": ""Q198939""}]",4,high,mexico_signal|regional_genre_signal|multi_source_presence,
